page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/hoofddorppleinbuurt,https://www.booking.com/searchresults.html?ss=Hoofddorppleinbuurt%2C%20Amsterdam%2C%20Netherlands,"Hoofddorppleinbuurt, Amsterdam, Netherlands","Hoofddorppleinbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/hoofdweg-e-o,https://www.booking.com/searchresults.html?ss=Hoofdweg%20e.o.%2C%20Amsterdam%2C%20Netherlands,"Hoofdweg e.o., Amsterdam, Netherlands","Hoofdweg e.o., Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/houthavens,https://www.booking.com/searchresults.html?ss=Houthavens%2C%20Amsterdam%2C%20Netherlands,"Houthavens, Amsterdam, Netherlands","Houthavens, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ijburg-oost,https://www.booking.com/searchresults.html?ss=IJburg-Oost%2C%20Amsterdam%2C%20Netherlands,"IJburg-Oost, Amsterdam, Netherlands","IJburg-Oost, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ijburg-west,https://www.booking.com/searchresults.html?ss=IJburg-West%2C%20Amsterdam%2C%20Netherlands,"IJburg-West, Amsterdam, Netherlands","IJburg-West, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ijburg-zuid,https://www.booking.com/searchresults.html?ss=IJburg-Zuid%2C%20Amsterdam%2C%20Netherlands,"IJburg-Zuid, Amsterdam, Netherlands","IJburg-Zuid, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ijplein-vogelbuurt,https://www.booking.com/searchresults.html?ss=IJplein/Vogelbuurt%2C%20Amsterdam%2C%20Netherlands,"IJplein/Vogelbuurt, Amsterdam, Netherlands","IJplein/Vogelbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ijselbuurt,https://www.booking.com/searchresults.html?ss=IJselbuurt%2C%20Amsterdam%2C%20Netherlands,"IJselbuurt, Amsterdam, Netherlands","IJselbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/indische-buurt-oost,https://www.booking.com/searchresults.html?ss=Indische%20Buurt-Oost%2C%20Amsterdam%2C%20Netherlands,"Indische Buurt-Oost, Amsterdam, Netherlands","Indische Buurt-Oost, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/indische-buurt-west,https://www.booking.com/searchresults.html?ss=Indische%20Buurt-West%2C%20Amsterdam%2C%20Netherlands,"Indische Buurt-West, Amsterdam, Netherlands","Indische Buurt-West, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
